Designator,Mid X,Mid Y,Layer,Rotation
C1,31.92,21.88,T,180
C10,9.09,28.01,T,0
C11,14.32,25.87,T,90
C12,14.08,33.64,T,90
C13,9.11,35.94,T,0
C14,6.71,20.34,T,0
C15,10.97,2.04,T,270
C16,25.05,14.04,T,270
C2,31.91,28.51,T,0
C3,18.47,34.98,T,180
C4,16.88,18.72,T,270
C5,29.8,18.56,T,270
C6,18.48,32.87,T,180
C7,27.81,35.01,T,0
C8,27.83,32.93,T,0
C9,11.43,18.04,T,90
D1,12.63,9.88,T,90
IC1,18.16,14.71,T,0
J1,18.98,5.12,T,0
PS1,6.15,2.02,T,0
Q1,5.26,8.57,T,0
Q2,8.6,8.54,T,0
R1,19.73,10.17,T,90
R10,29.86,9.92,T,270
R2,18.19,10.14,T,90
R3,21.53,10.2,T,270
R4,16.63,10.16,T,270
R5,4.16,23.81,T,0
R6,4.07,33.86,T,180
R7,4.92,5.61,T,0
R8,8.19,5.69,T,180
R9,24.81,9.69,T,90
S1,31.7,5.02,T,270
S2,26.93,4.99,T,270
U1,23.4,25.06,T,180
U2,6.78,16.53,T,180
U3,9.19,24.37,T,180
U4,9.13,32.15,T,180
Y1,31.92,25.17,T,270
